audited_at_utc,layer,dataset,batch_id,artifact_path,report_path,report_layer,rows,parquet_file_count,parquet_bytes,manifest_file_count,manifest_bytes,match_rate,status,failed_checks,check_count,passed_check_count,lineage_bronze_batch,lineage_silver_output,lineage_bronze_run,lineage_silver_batch,lineage_forecast_silver_batch,lineage_actual_weather_silver_batch
2026-08-16T11:06:30+00:00,bronze,opsd_time_series,20260804T114958Z,data_lake/bronze/opsd_time_series/ingestion_date=20260804/batch_id=20260804T114958Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,opsd_time_series,20260804T115229Z,data_lake/bronze/opsd_time_series/ingestion_date=20260804/batch_id=20260804T115229Z,data_lake/bronze/opsd_time_series/ingestion_date=20260804/batch_id=20260804T115229Z/manifest.jsonl,,,0,0,1,1595,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_forecast_vintage,20260804T123152Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123152Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_forecast_vintage,20260804T123343Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123343Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260804/batch_id=20260804T123343Z/run=2024-06-01T00-00Z/manifest.jsonl,,,0,0,1,1698,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_forecast_vintage,20260816T100641Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T100641Z,,,,0,0,0,0,,WARN,"['report_present', 'manifest_present']",3,1,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_forecast_vintage,20260816T100737Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T100737Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T100737Z/manifest.jsonl,,,0,0,1,13680,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_forecast_vintage,20260816T103952Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T103952Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T103952Z/manifest.jsonl,,,0,0,1,51300,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_forecast_vintage,20260816T105628Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T105628Z,data_lake/bronze/weather_forecast_vintage/ingestion_date=20260816/batch_id=20260816T105628Z/manifest.jsonl,,,0,0,1,76500,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_open_meteo,20260804T120600Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T120600Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T120600Z/manifest.jsonl,,,0,0,1,1566,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_open_meteo,20260804T123534Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T123534Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T123534Z/manifest.jsonl,,,0,0,1,1564,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_open_meteo,20260804T124555Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T124555Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260804/batch_id=20260804T124555Z/manifest.jsonl,,,0,0,1,1564,,COMPLETE,[],3,3,,,,,,
2026-08-16T11:06:30+00:00,bronze,weather_open_meteo,20260816T103831Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T103831Z,data_lake/bronze/weather_open_meteo/ingestion_date=20260816/batch_id=20260816T103831Z/manifest.jsonl,,,0,0,1,1564,,COMPLETE,[],3,3,,,,,,
