outcome,term,coefficient,std_error_clustered_by_region,t_value,p_value,ci_low,ci_high
negative_price_flag,C(hour_utc)[T.14],-0.004635222317126977,0.001482119599345663,-3.127427988384587,0.0017634301340612988,-0.007540123352625411,-0.001730321281628543
negative_price_flag,C(hour_utc)[T.15],-0.009243980361054336,0.002990258128142435,-3.0913653487154797,0.0019923832313168206,-0.015104778596691668,-0.003383182125417006
negative_price_flag,C(hour_utc)[T.16],-0.009461928533085643,0.003415930692625544,-2.7699416014243075,0.005606634409746947,-0.01615702966431667,-0.002766827401854615
negative_price_flag,C(hour_utc)[T.17],-0.00945063059792264,0.0038274657194311596,-2.4691613957360796,0.013543012081991098,-0.0169523255600694,-0.0019489356357758796
negative_price_flag,C(hour_utc)[T.18],-0.008966335910125928,0.003867621166206165,-2.318307694784183,0.02043260452301101,-0.016546734101734815,-0.0013859377185170422
negative_price_flag,C(hour_utc)[T.19],-0.008724468890512605,0.0038231379792309774,-2.2820177921665095,0.022488289841459726,-0.016217681637732562,-0.0012312561432926486
negative_price_flag,C(hour_utc)[T.20],-0.008600966339044705,0.0037429450484751676,-2.2979141365029228,0.021566676545077136,-0.01593700383016856,-0.00126492884792085
negative_price_flag,C(hour_utc)[T.21],-0.009695121676855569,0.004041214848196355,-2.399061183590035,0.01643716795488909,-0.017615757233108924,-0.0017744861206022127
negative_price_flag,C(hour_utc)[T.22],-0.005704418093945936,0.0023700164488458996,-2.4069107607771048,0.016088100542892607,-0.010349564976451415,-0.0010592712114404577
negative_price_flag,C(hour_utc)[T.23],-0.002380550843177504,0.0011822846779468773,-2.0135174612188176,0.04406021990126516,-0.00469778623142692,-6.331545492808781e-05
negative_price_flag,C(day_of_week)[T.1],-0.0041920763998411215,0.0013638233567250713,-3.073767859429752,0.0021137383884747914,-0.006865121060296783,-0.0015190317393854592
negative_price_flag,C(day_of_week)[T.2],-0.0075140060551499716,0.0025627237657288872,-2.9320390108501786,0.0033674444430272905,-0.012536852338303452,-0.00249115977199649
negative_price_flag,C(day_of_week)[T.3],-0.008861931800250805,0.003027579644278509,-2.927068101081337,0.003421739467352719,-0.014795878863363272,-0.002927984737138339
negative_price_flag,C(day_of_week)[T.4],-0.007959724551398008,0.0027258769080009872,-2.920060156801154,0.0034996382374763778,-0.013302345117369347,-0.0026171039854266708
negative_price_flag,C(day_of_week)[T.5],-0.0027694010804126114,0.0009761987560872883,-2.8369233858816565,0.0045550540777616715,-0.004682715484096498,-0.0008560866767287254
negative_price_flag,C(day_of_week)[T.6],0.010334368269970716,0.005073073961816391,2.037101833672171,0.041639838195303085,0.0003913260139026629,0.02027741052603877
negative_price_flag,C(year)[T.2016],0.0009026851508015686,0.0007063848729041652,1.2778942265430355,0.20128672404923809,-0.0004818037593144987,0.002287174060917636
negative_price_flag,C(year)[T.2017],0.0010025795233863488,0.001457544679877255,0.6878550875509213,0.49154404170386023,-0.0018541555550310336,0.003859314601803731
negative_price_flag,C(year)[T.2018],-0.0003928751280707321,0.0015675887131837204,-0.25062385609603927,0.8021049357623273,-0.0034652925484823125,0.0026795422923408486
negative_price_flag,C(year)[T.2019],0.0017226507614992981,0.0021078190779399444,0.8172668990086727,0.4137759187660889,-0.002408598717189418,0.005853900240188014
negative_price_flag,C(year)[T.2020],0.006405861730374187,0.002630270893096888,2.4354380178810815,0.014873772577708222,0.0012506255103202834,0.01156109795042809
negative_price_flag,renewable_share_pct,0.0005352243912650512,0.00020384757995532525,2.6256107204331283,0.008649367342821294,0.00013569047621696468,0.0009347583063131378
negative_price_flag,load_forecast_error_gw,-0.0010427868009289928,0.00058273445853419,-1.7894716635635692,0.07353888704960528,-0.002184925352206455,9.935175034846925e-05
