model,outcome,term,coefficient,std_error_hac24,t_value,p_value_hac24,ci_low,ci_high,n,r_squared
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.1],-2.4734980659817842,3.178598929454491,-0.7781724341064584,0.43646736532873287,-8.70343748901016,3.7564413570465907,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.2],-4.203052216998393,4.0541240091460375,-1.0367349907196661,0.299859380036564,-12.14898926378376,3.7428848297869735,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.3],-2.577967847288248,5.007547571813278,-0.5148164466373193,0.6066812914691064,-12.392580738913272,7.236645044336777,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.4],10.743028819875274,6.743735501361753,1.5930382823742049,0.11115160324051486,-2.474449884057927,23.960507523808474,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.5],26.50659922305916,9.847588613394118,2.691684255271024,0.00710922157205643,7.205680206239958,45.80751823987836,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.6],17.338417139820596,5.482384043938548,3.1625688753035015,0.0015638373758692316,6.593141864283986,28.083692415357206,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.7],11.179881790499437,5.113686125157501,2.186266719714851,0.028796097467850227,1.157241156948551,21.202522424050322,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.8],10.45584423171538,7.064631527398116,1.4800268338363343,0.13886608564664693,-3.3905791260311187,24.302267589461877,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.9],12.947984248680456,8.169673639758399,1.584883903521924,0.11299271436231824,-3.064281850692261,28.960250348053172,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.10],7.953564825086028,9.742832564534613,0.8163503552383944,0.41429978181506777,-11.142036108805824,27.04916575897788,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.11],4.231881033317837,10.502789705541579,0.40292923613285075,0.6870002829308743,-16.353208526741696,24.81697059337737,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.12],-2.137803669182687,9.671291953220223,-0.22104633791671116,0.825056352801693,-21.093187581466356,16.81758024310098,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.13],-1.3077740396466164,8.631927673065091,-0.15150428608517777,0.8795779300589316,-18.226041396008828,15.610493316715594,239,0.9232830145428738
price_level_regime_interactions,price_day_ahead,C(hour_utc)[T.14],4.897327245308291,7.402562696954163,0.6615718698773508,0.5082456405173542,-9.611429034021558,19.40608352463814,239,0.9232830145428738
